,product_id,product_name,category,discounted_price,actual_price,discount_percentage,rating,rating_count
1041,B083GKDRKR,"Havells Aqua Plus 1.2 litre Double Wall Kettle / 304 Stainless Steel Inner Body / Cool touch outer body / Wider mouth/ 2 Year warranty (Black, 1500 Watt)",Home&kitchen,1625.0,2995.0,46.0,4.5,23484
1043,B07YR26BJ3,KENT 16052 Elegant Electric Glass Kettle 1.8L 2000 W | Blue LED Illumination | Borosilicate Glass Body | Boil Drying Protection | Used as Boiler | Milk | Tea | Water & Soup | 1 Year Warranty,Home&kitchen,1199.0,2000.0,40.0,4.0,14030
1046,B01C8P29T4,"Bajaj Majesty DX-11 1000W Dry Iron with Advance Soleplate and Anti-bacterial German Coating Technology, White and Blue",Home&kitchen,599.0,785.0,24.0,4.2,24247
1048,B096YCN3SD,"Lifelong LLEK15 Electric Kettle 1.5L with Stainless Steel Body, Easy and Fast Boiling of Water for Instant Noodles, Soup, Tea etc. (1 Year Warranty, Silver)",Home&kitchen,549.0,1000.0,45.0,3.6,1074
1049,B09LQH3SD9,"Lifelong LLQH922 Regalia 800 W (ISI Certified) Quartz Room Heater with 2 Power settings, Overheating Protection, 2 Rod Heater (1 Year Warranty, White)",Home&kitchen,999.0,2000.0,50.0,3.8,1163
1050,B09KNMLH4Y,"R B Nova Lint/Fabric Shaver for Cloths, Lint Remover for Woolen Sweaters, Blankets, Jackets/Burr Remover Pill Remover from Carpets, Pack of 1",Home&kitchen,398.0,1999.0,80.0,4.1,257
1051,B00ABMASXG,"Bajaj Immersion Rod Water Heater 1500 Watts, Silver",Home&kitchen,539.0,720.0,25.0,4.1,36017
1052,B07QDSN9V6,INALSA Electric Kettle 1.5 Litre with Stainless Steel Body - Absa|Auto Shut Off & Boil Dry Protection Safety Features| Cordless Base & Cord Winder|Hot Water Kettle |Water Heater Jug,Home&kitchen,699.0,1595.0,56.0,4.1,8090
1053,B00YMJ0OI8,Prestige PIC 20 1600 Watt Induction Cooktop with Push button (Black),Home&kitchen,2148.0,3645.0,41.0,4.1,31388
1055,B0814P4L98,"PrettyKrafts Laundry Basket for clothes with Lid & Handles, Toys Organiser, 75 Ltr Black & Grey",Home&kitchen,351.0,999.0,65.0,4.0,5380
1057,B088ZTJT2R,Havells Immersion HB15 1500 Watt (White Blue),Home&kitchen,719.0,1295.0,44.0,4.2,17218
1058,B0BK1K598K,"AGARO LR2007 Lint Remover, Rechargeable, for Woolen Sweaters, Blankets, Jackets, Burr Remover, Pill Remover From Carpets, Curtains",Home&kitchen,678.0,1499.0,55.0,4.2,900
1059,B09Y5FZK9N,"Pigeon 1.5 litre Hot Kettle and Stainless Steel Water Bottle Combo used for boiling Water, Making Tea and Coffee, Instant Noodles, Soup, 1500 Watt with Auto Shut- off Feature - (Silver)",Home&kitchen,809.0,1545.0,48.0,3.7,976
